,coach,team,season
686,Doug Marrone,JAX,2019
687,Andy Reid,KAN,2019
688,Anthony Lynn,LAC,2019
689,Sean McVay,LAR,2019
690,Brian Flores,MIA,2019
691,Mike Zimmer,MIN,2019
692,Sean Payton,NOR,2019
693,Bill Belichick,NWE,2019
694,Pat Shurmur,NYG,2019
695,Adam Gase,NYJ,2019
696,Jon Gruden,OAK,2019
697,Doug Pederson,PHI,2019
698,Mike Tomlin,PIT,2019
699,Pete Carroll,SEA,2019
700,Kyle Shanahan,SFO,2019
701,Bruce Arians,TAM,2019
702,Mike Vrabel,TEN,2019
703,Bill Callahan,WAS,2019
704,Jay Gruden,WAS,2019
705,Kliff Kingsbury,ARI,2020
706,Raheem Morris,ATL,2020
707,Dan Quinn,ATL,2020
708,John Harbaugh,BAL,2020
709,Sean McDermott,BUF,2020
710,Matt Rhule,CAR,2020
711,Matt Nagy,CHI,2020
712,Zac Taylor,CIN,2020
713,Kevin Stefanski,CLE,2020
714,Mike McCarthy,DAL,2020
715,Vic Fangio,DEN,2020
716,Darrell Bevell,DET,2020
717,Matt Patricia,DET,2020
718,Matt LaFleur,GNB,2020
719,Bill O'Brien,HOU,2020
720,Romeo Crennel,HOU,2020
721,Frank Reich,IND,2020
722,Doug Marrone,JAX,2020
723,Andy Reid,KAN,2020
724,Anthony Lynn,LAC,2020
725,Sean McVay,LAR,2020
726,Jon Gruden,LVR,2020
727,Brian Flores,MIA,2020
728,Mike Zimmer,MIN,2020
729,Sean Payton,NOR,2020
730,Bill Belichick,NWE,2020
731,Joe Judge,NYG,2020
732,Adam Gase,NYJ,2020
733,Doug Pederson,PHI,2020
734,Mike Tomlin,PIT,2020
735,Pete Carroll,SEA,2020
736,Kyle Shanahan,SFO,2020
737,Bruce Arians,TAM,2020
738,Mike Vrabel,TEN,2020
739,Ron Rivera,WAS,2020
